"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C2,C4,C16,C19,C22","100nF","","~","5","","",""
"C3","10uF X 63V","","~","1","","",""
"C5,C8,C9","47uF X 25V","","~","3","","",""
"C7,C13","47uF X 35V","","~","2","","",""
"C10","4.7pF","","~","1","","",""
"C11","47pF","","~","1","","",""
"C12","470pF","","~","1","","",""
"C14,C17,C20","100uF X 35V","","~","3","","",""
"C15,C18,C21","1uF x 25V","","~","3","","",""
"D1","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","1","","",""
"D2,D3","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","2","","",""
"J1","Mic Input","","~","1","","",""
"J2","HI-Z Input","","~","1","","",""
"J3","Output","","~","1","","",""
"Q1","BC548","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","1","","",""
"Q2","BF246A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BF245A-D.PDF","1","","",""
"Q3","2SA1015","Package_TO_SOT_THT:TO-92_Inline","http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf","1","","",""
"Q4","TIP122","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/TIP120-D.PDF","1","","",""
"R1,R2","6K8","","~","2","","",""
"R3","R","","~","1","","",""
"R4,R9,R24","1M","","~","3","","",""
"R5","3K3","","~","1","","",""
"R6","10K","","~","1","","",""
"R7","270R","","~","1","","",""
"R8,R21","1K","","~","2","","",""
"R10","20K","","~","1","","",""
"R12","100k","","~","1","","",""
"R13","47K","","~","1","","",""
"R14","33K","","~","1","","",""
"R16","2K2","","~","1","","",""
"R17","15K","","~","1","","",""
"R18,R19,R20","120R","","~","3","","",""
"R22,R26","100R","","~","2","","",""
"R23","2.7K","","~","1","","",""
"R25","3.3K","","~","1","","",""
"RL1","JW2","Relay_THT:Relay_DPDT_Panasonic_JW2","http://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_jw.pdf?via=ok","1","","",""
"RV1","10KA","","~","1","","",""
"RV2","50KA","","~","1","","",""
"SW1","Phantom Power","","~","1","","",""
"SW2","-20dB PAD","","~","1","","",""
"T1","Jensen JT-115K-EPC","","~","1","","",""
"U1","NJM4580","","http://www.njr.com/semicon/PDF/NJM4580_E.pdf","1","","",""
"U2","L78L12_TO92","Package_TO_SOT_THT:TO-92_Inline","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","1","","",""
"V1","12AT7","","","1","","",""
